Model Name;Species Name
msp_0202.mat;[Acinetobacter]_sp._N54.MGS-139_/_Proteobacteria_bacterium_CAG:139
msp_0203.mat;Negativibacillus_massiliensis
msp_0204.mat;Clostridia_bacterium_UC5.1-1D10_/_[Clostridium]_sp._CAG:505_/_Firmicutes_bacterium_CAG:466
msp_0205.mat;Firmicutes_bacterium_CAG:124
msp_0206.mat;Butyrivibrio_crossotus
msp_0207.mat;[Roseburia]_sp._CAG:380
msp_0208.mat;[Ruminococcus]_sp._Marseille-P328_&_Blautia_sp._2789STDY5608844_&_sp._2789STDY5608844
msp_0209.mat;Enterobacter_roggenkampii
msp_0210.mat;unclassified_Ruminococcus
msp_0211.mat;Mediterranea_massiliensis
msp_0212.mat;Dialister_invisus
msp_0213.mat;Flavonifractor_plautii
msp_0214.mat;Alistipes_sp._CAG:268
msp_0215.mat;Dialister_sp._Marseille-P5638_&_CAG:357
msp_0216.mat;Odoribacter_laneus
msp_0217.mat;Bacteroides_ndongoniae
msp_0218.mat;msp_0218.mat
msp_0219.mat;unclassified_Bacteroides
msp_0220.mat;msp_0220.mat
msp_0221.mat;Acidaminococcus_intestini
msp_0222.mat;[Clostridium]_sp._CAG:354_28_25
msp_0223.mat;[Clostridium]_sp._L2-50
msp_0224.mat;Prevotella_copri_2
msp_0225.mat;Alistipes_obesi
msp_0226.mat;Desulfovibrionaceae_bacterium_CIM:MAG_900
msp_0227.mat;[Eubacterium]_sp._36_13_&_CAG:86_&_RUG185
msp_0228.mat;msp_0228.mat
msp_0229.mat;Prevotella_sp._885
msp_0230.mat;Alistipes_inops_==_Tidjanibacter_massiliensis
msp_0231.mat;unclassified_Erysipelotrichaceae
msp_0232.mat;Dorea_sp._CAG:317
msp_0233.mat;unclassified_Lachnoclostridium
msp_0234.mat;msp_0234.mat
msp_0235.mat;unclassified_Bacteroides
msp_0236.mat;[Eubacterium]_ventriosum
msp_0237.mat;Roseburia_sp._CAG:182
msp_0238.mat;unclassified_Lachnospiraceae
msp_0239.mat;Sutterellaceae_bacterium_4NBBH2
msp_0240.mat;unclassified_Oscillospiraceae
msp_0241.mat;msp_0241.mat
msp_0242.mat;Anaerotignum_lactatifermentans
msp_0243.mat;[Clostridium]_sp._CAG:253
msp_0244.mat;[Ruminococcus]_sp._CAG:60_/_Blautia_sp._2789STDY5608836
msp_0245.mat;Megasphaera_massiliensis
msp_0246.mat;Tyzzerella_nexilis
msp_0247.mat;[Clostridium]_sp._44_14_&_CAG:277
msp_0248.mat;msp_0248.mat
msp_0249.mat;unclassified_Ruminococcaceae
msp_0250.mat;[Ruminococcus]_lactaris
msp_0251.mat;unclassified_Prevotella
msp_0252.mat;unclassified_Ruminiclostridium
msp_0253.mat;unclassified_Bilophila
msp_0254.mat;unclassified_Lachnoclostridium
msp_0255.mat;msp_0255.mat
msp_0256.mat;Bacteroides_sp._CAG:462_&_sp._Marseille-P3684
msp_0257.mat;unclassified_Prevotella
msp_0258.mat;Firmicutes_bacterium_CAG:102
msp_0259.mat;Coprococcus_comes
msp_0260.mat;Prevotella_lascolaii
msp_0261.mat;[Bacteroides]_sp._CAG:770
msp_0262.mat;Ruminococcus_callidus
msp_0263.mat;Bifidobacterium_adolescentis
